id,title,body,category,priority,title_length,body_length
1,Discrepanza contabile: bonifico 1110.95 non visibile (chiusura bloccata) - condizioni commerciali condizioni commerciali,"L'utente giulia.verdi segnala lentezza esasperante nel modulo fatturazione. Il salvataggio di ogni fattura impiega 30-40 secondi. Non è un blocco totale, ma dimezza la produttività dell'ufficio. Necessaria verfiica performance database o rete su ambiente test.",Amministrazione,media,120,260
2,Info: statistiche licenze Linea Accessori con performance,Richiesta estrazione dati statistiic su utilizzo licenze Linea Accessori. Il report serve esclusivamente per proiezioni di budget anno prossimo (uso interno). Nessuna scadenza operativa immediata. Elaborazione da fare offline quando le risorse lo permettono.,Amministrazione,bassa,57,258
3,Export fallito: report mensile si blocca a metà (serve urgentissimo) - login fallito - login fallito per sincronizzazione,"error di stampa isolato: impossiible stampare la fattura 7247/24. Il sistema genera il PDF correttamente a video, ma l'invio alla stampante fallisce. Altre fatture vengono stampate regolarmente. Il cliente Mancini s.r.l. è in attesa del cartaceo per il ritiro merce.",Amministrazione,alta,121,266
4,Anomalia visiva: duplicazione righe estratto conto (confusione) con listino con sincronizzazione,"bug di stampa isolato: impossibile stampare la fattura 6293/24. Il sistema genera il PDF correttamente a video, ma l'invio alla stampante fallisce. Altre fatture vengono stampate regolarmente. Il cliente Odescalchi, Druso e Palazzo SPA è in attesa del cartaceo per il ritiro merce., problema su assistenza - performance - sconto preventivo",Amministrazione,media,96,339
5,Archivio: documentazione storica 1981,"Mancata ricezione notifica approvazione ordine ORD-10742. Il responsabile ha approvato, ma l'email non è arrivata all'amministrazione. Senza ontifica la fatturazione non parte. Verifciare code di posta in uscita su ambiente demo.",Amministrazione,bassa,37,229
6,Export fallito: report mensile si blocca a metà (serve urgente),"Durante l'elaborazoine della fatutra 6283/22 per il cliente Pedroni-Maggioli s.r.l., il sistema clienit si è bloccato generando problem ERR_CONNECTION_REFUSED. L'operazione di registrazione pagaemnto di 698.37 non può essere completata. Il cliente attende conferma per procedere con l'ordine ORD-42536. Necessario intervento urgent per sbloccare il processo di fatturazione. errore",Amministrazione,alta,63,381
7,Timeout ricerca: impossibile filtrare fatture > 30 giorni,"Mancata ricezione notifica approvazione ordine ORD-85153. Il responsabile ha approvato, ma l'email non è arrivata all'amministrazione. Senza notifica la fatturazione non parte. checkre ocde di posta in uscita su ambiente staging.",Amministrazione,media,57,229
8,Backup: storico fatture 2005,"Data entry: modifica scheda informativa cilente Bembo s.r.l.. gAgiornamento campi email puccivincentio@cusano.it e referente operatore_23. Modifica puramente formale per completezza aangrafica. Attività amministrativa standard di basso livello, gestibile in background. accesso",Amministrazione,bassa,28,277
9,URGENTE: Account bloccato mario.rossi - problem ERR_CONNECTION_REFUSED su sistema clienti,Malfunzionamento export Excel per report mensile. La generazione del file si interrompe a metà con errore generico. I dati a video osno corretti. Serve il file esportato per riunione di domani mattina. Workaround richiesto. con login fallito con performance con sincronizzazione,Amministrazione,alta,89,278
10,Monitoraggio: log modulo utenti (nessun errore),Controllo qualità adti contabili storici per archivio. check di routine sulla coerenza dei vecchi movimenti di anni passati. Non blocca nessuna attività corrente e non richiede correzioni urgenti. Si può procedere gradualmente alal avlidazione dei record passati.,Amministrazione,media,47,263
