id,title,body,category,priority,title_length,body_length
1,Timeout ricerca: impossibile filtrare fatture > 30 giorni con preventivo,Proposta di manutenzione ordinaria: pulizia account inattivi da lungo periodo. Lisat di 10 utenti che non accedono da mesi. Attività di igiene del database da schedulare come task di routine. Nessun impatto sugli utenti attivi o sul servizio di produzione. accessoi,Amministrazione,media,72,265
2,Task: aggiornamento anagrafica pianificato,"Duplicazione righe in visualizzazione estratto conto Vezzali, Ceschi e Camicione SPA. Le fatture papaiono due volte nella lista a video. Il saldo finale è corretto, è solo un problem visivo che confonde gli operatori. Richiesta pulizia della view nel modulo assistenza.. Segnalato anche ambiente",Amministrazione,bassa,42,295
3,problem critico: impossibile completare pagamento ordine ORD-38214 con performance - bug,"pb di visualizzazione anagrafica cliente Bartoli Group. Alcuni campi (telefono, indirizzo) appaiono vuoti anche se popolati nel DB. Rende difficile contattare il cliente per sollecito pagamenti. Bug dell'interfaccia fatt.zione da correggere.",Amministrazione,alta,88,241
4,Bug interfaccia: anagrafica Marini-Rossi s.r.l. illeggibile (campi vuoti),"Attività di background: archiviazione documenti storici cliente Marini-Rossi s.r.l. per anno 2004. Si tratta di spostare vecchi file (fatture, contratti) nell'archivio morto per liberare spazio. Nessuna urgneza operativa: il task può girare nei momenti di inattività del sistema. Operazione di manutenzinoe oridnaria del database.n",Amministrazione,media,73,331
5,Mancata notifica: email approvazione persa (processo fermo),Richiesta estrazione adti statistici su utilizzo licenze Linea Enterprise. Il report serve esclusivamente per proiezioni di budget anno prossimo (uso interno). Nessuna scadenza operativa immediata. Elaborazione da fare offline quando le risorse lo permettono. - relativo a ordine,Amministrazione,bassa,59,279
6,Blocco sistema durante elaborazione fattura 1824/20 per Ioppi-Martucci s.r.l. con sconto - sconto con negoziazione,"Durante l'elaborazione della fattura 1824/20 per il cliente Ioppi-Martucci s.r.l., il isstema vendite si è bloccato generando err SQL_ERROR_1045. L'operazione di registrazione pagamento di 865.37 non può essere completata. Il cliente attende conferma per procedere con l'ordine ORD-45646. Necessario intervento urgent per sbloccare il processo di fatturazione.",Amministrazione,alta,114,360
7,Monitoraggio: log modulo utenti (nessun errore),"Mancata ricezione notifica approvazione ordine ORD-28403. Il responsabile ha approvato, ma l'email non è arrivata all'amministrazione. Senza notifica la fatturazione non parte. checkre code di posta in uscita su ambiente produzione.m",Amministrazione,media,47,233
8,sys. fermo reportistica non risponde - utenti bloccati su gestione anagrafiche,"Attività di background: archiviazione documenti storici cliente Liverotti, Vento e Tutino e figli per anno 1970. Si tratta di spostare vecchi file (fatture, contratti) nell'archivio morto per liberare spazio. Nessuna urgenza operativa: il task può girare nei momenti di inattività del sistema. Operazione di manutenzione ordinaria del database. ordine",Amministrazione,bassa,78,351
9,Blocco sistema durante elaborazione fattura 5513/20 per Cafarchia s.r.l. con disponibilità condizioni commerciali,URgente compleatre la registrazione del pagamento per l'ordine ORD-20723 del cliente Cafarchia s.r.l.. Il sistema mostra errore 503 durante l'inserimento dell'importo 210.39 in ordini. Il bonifico risulta effettuato ma il gestionale non salva i dati. Blocco critico che impedisce conferma ordine e spedizoine merce. Richiesto supporto tech immediato. preventivof,Amministrazione,alta,113,362
10,Funzione rotta: tasto upload PDF non cliccabile,"Errore di stampa isolato: impossibile stampare la fatt. 2315/20. Il sistema genera il PDF correttamente a video, ma l'invio alla stampante fallisce. Alter fatture vengono stampaet regolarmente. Il cliente Valier Group è in attesa del cartaceo per il ritiro merce.. Segnalato anche  ringraziamo - memory leak",Amministrazione,media,47,307
