id,title,body,category,priority,title_length,body_length
1,Errore stampa: impossibile stampare fattura 2303/20 (cliente aspetta),Procedura di backup storico: export fatture anno 2017 per rachivio sicurezza. Generazione ifle statico in formato Excel da conseravre server-side. Operazione a bassa priorità da accodare ai job notturni o weekend. Serve sool per compliance e non per attività correnti.,Amministrazione,media,69,268
2,Funzione rotta: tasto upload PDF non cliccabile con sconto per performance disponibilità,Proposta di manutenzione ordinaria: pulizia account inattivi da lungo periodo. Lista di 9 utenti che non acceodno da mesi. Attività di igiene del database da schedulare come tsak di routine. Nessun impatto sugli utenti attivi o sul servizio di produzione. preventivo con condizioni commerciali,Amministrazione,bassa,88,293
3,Account bloccato: utente admin_01 fermo (troppi tentativi),err. validazione codice fiscale per nuovo cliente Barmbilla-Pizzo s.r.l.. Il system lo segna come errato anche se è formalmente valido. Impedisce il salvataggio della scheda cliente. Necessario bypassare il controllo o correggere l'algoritmo di validazione.,Amministrazione,alta,58,257
4,Errore calcolo IVA: importo errato su fattura estera (non validabile) con bug con login fallito memory leak,Procedura di backup storico: export fatture anno 2015 per archivio sicurezza. Generazione file statico in formato Excel da conservare server-side. Operazione a bassa priorità da accodare ai job notturni o weekend. Serve solo per compliance e non per attività correnti. con condizioni commerciali - disponibilità - bug,Amministrazione,media,107,317
5,"Blocco sistema durante elaborazione fattura 8373/22 per Righi, Federici e Morosini e figli con performance","Attività di background: archiviazione documenti storici cliente Righi, Federici e Morosini e filgi per anno 2022. Si tratta di spostare vecchi file (fatture, contratti) nell'archivio morto per liberare spazio. Nessuna urgenza operativa: il task può girare nei momenti di inattività del sistema. Operazione di manutenzione ordinaria del database.",Amministrazione,bassa,106,345
6,Mancata notifica: email approvazione persa (processo fermo),"Durante l'elaborazione della fattura 5954/24 per il cliente Fabbri, Vasari e Muti Group, il sistema assistenza si è bloccato generando errore NullPointerException. L'operazione di registrazione pagamento di 1247.62 non può essere completata. Il cliente attende conferma per procedere con l'ordine ORD-78574. Necessario intervento urgente per sbloccare il processo di fatturazione.",Amministrazione,alta,59,380
7,"Bug interfaccia: anagrafica Bernetti, Farina e Satta Group illeggibile (campi vuoti)","L'utente giulia.verdi seganla lentezza esasperante nel modulo fatzione. Il salvataggio di ogni fattura impiega 30-40 secondi. Non è un blocco totale, ma dimezza la produttività dell'ufficio. Necessaria verifica performance database o rete su ambiente produzione. con login fallito",Amministrazione,media,84,280
8,Funzione rotta: tasto upload PDF non cliccabile memory leak,Richiesta estrazione dati statistici su utilizzo licenze Linea Enterprise. Il erport serve esclusivamente per proiezioni di budget anno prossimo (uso interno). Nessuna scadenza operativa immediata. Elaborazione da fare offline quando le risorse lo permettono.,Amministrazione,bassa,59,259
9,Errore stampa: impossibile stampare fattura 1341/22 (cliente aspetta),"ASAP completare la registrazione del pagamento per l'ordine ORD-62183 del cliente Combi, Franceschi e Pasqua s.r.l.. Il sistema mostra err ERR_TIMEOUT durante l'inserimento dell'importo 383.54 in catalogo. Il bonifico risulta effettuato ma il gestionale non salva i dati. Blocco critico che impedisce conferma ordine e spedizione merce. Richiesto supporto tec. immediato.",Amministrazione,alta,69,371
10,Log: inserimento anagrafica Callegari s.r.l.,"Impossibile allegare PDF al record della fattura 3843/23. Il bottone 'Upload' non risponde o dà err di permessi. Il documento deve essere archiviato digitalmente entro fine mese. Problema limitato alla funzione di upload, il resto funziona.",Amministrazione,media,44,240
11,Manutenzione: pulizia account inattivi,"uDrante l'elaborazione della fat 5121/23 per il cliente Scalfaro-Soranzo Group, il sistema fatturazione si è bloccato generando err. 500. L'operazione di registrazione pagamento di 245.56 non può essree completata. Il cliente attende conferma per procedere con l'ordine ORD-53837. Necessario intervento urgent per sbloccare il processo di fatturazione.",Amministrazione,alta,38,352
