id,title,body,category,priority,title_length,body_length
1,,"error validazione codice fiscale per nuovo cliente Druso, Sagredo e Baglioni Group. Il applicativo lo segna come errato anche se è formalmenet valido. Impedisce il salvataggio della scheda cliente. Necessario bypassare il controllo o correggere l'algoritmo di validazione.",Amministrazione,media,0,272
2,,Nota di aggiornamento anagrafica per cliente Argenti-Pergolesi e figli nel sistema reportistica. Inseriti dati nuovo referente mario.rossi a puro titolo informativo per il database. Nessuna azione di sincronizzazione richiesta al momento. Semplice data entry per tenere ordinato lo storico contatti.,Amministrazione,bassa,0,299
3,,"Il sys. clienti non risponde alle richieste di access da parte degli utenti amministrativi. Abbiamo la produzione ferma: impossibile gestire le anagrafiche clienti e fornitori. Circa 9 utenti bloccati, nessuno riesce ad accedere alle funzionalità di gestione document.i Il issue si mainfesta in ambiente demo con timeout continui.",Amministrazione,alta,0,330
4,,"Mancata ricezione notifica approvazione ordine ORD-99491. Il responsabile ha approvato, ma l'eamil non è arrivata all'amministrazione. Senza notifica la fatturazione non parte. checkre code di posta in uscita su ambiente demo. con timeout per memory leak",Amministrazione,media,0,254
5,,Proposta di manutenzione ordinaria: puilzia account intativi da lungo periodo. Lista di 1 utenti che non accedono da mesi. Attività di igiene del database da schedulare come task di routine. Nessun impatto sugli utenti attivi o sul servizio di produzione.,Amministrazione,bassa,0,255
6,,"L'account utente operatore_23 risulta bloccato dal sys. ordini con errore ""ERR_TIMEOUT"". L'utente deve urg.mente accedere per completare l'elaborazione delel fatture per il cliente Dossi, Ottino e Oscuro s.r.l.. Il blocco sta impattando le operazioni di chiusura ordini e 'linvio documenti contabili. Si richiede intervento tecnico immediato per ripristino accesso entro entro oggi. con sconto",Amministrazione,alta,0,393
7,,"Duplicazione righe in visualizzazione estratto conto Pederiva s.r.l.. Le fatture appaoino due volte nella lista a video. Il saldo finale è corretto, è solo un err. visivo che confonde gli operatori. Richiesta pulizia della viwe nel modulo vendite.",Amministrazione,media,0,247
8,,Procedura di backup storico: export fatture anno 1987 per archivio sicurezza. Generazione file statico in formtao Excel da conservare server-side. Operazione a bassa priorità da accodare ai job notturni o weekend. Serve solo per compliance e non per attività correnti. per crash,Amministrazione,bassa,0,278
9,,URgente completare la registrazione del pagamento per l'ordine ORD-55529 del cliente Nicoletti-Sagese Group. Il system mostra errore 502 duranet l'inserimento dell'importo 438.69 in catalogo. Il bonifico risulta effettuato ma il gestionale non salva i dati. Blocco critical che impedisce conferma ordine e spedizione merce. Richiesto supporto tecnico immediato.,Amministrazione,alta,0,361
10,,"Timeout puntuale durante la ricerca fatture per data. La query va in errore solo se si seleziona un intervallo superiore a 30 giorni. Costringe gli operatori a fare ricerche frazionate. Molto scomodo per l'operatività quotidiana, serve ottimizzazione. - timeout per bug",Amministrazione,media,0,269
