id,title,body,category,priority,title_length,body_length
1,,Malfunzionamento export Excel per report mensile. La generazione del file si interrompe a metà con errore generico. I dati a video sono corretti. Serve il file esportato per riunione di domani mattin.a Workaround richiesto.,Amministrazione,media,0,223
2,,"Attività di background: archiviazione documenti storici cliente Zola, Ariasso e Meucci e figli per anno 1984. Si tratta di spostare vecchi file (aftture, contratti) nell'archivio morto per liberare spazio. Nessuna urgenza operativa: il task può girare nei momenti di inattività del sistema. Operazione di manutenzione ordinaria del database. listino memory leak per crash",Amministrazione,bassa,0,371
3,,"L'account operatore_23 risulta bloccato per troppi tentativi di login errati. Serve sblococ manuale da parte dell'amministratore. L'utente deve completare l'inserimento ordini entro sera. Non è un problema di applicativo generalizzato, solo utenza singola.. Segnalato anche informazioni - bug - errore critico errore critico",Amministrazione,alta,0,324
4,,"Macnato allineamento incassi: il bonifico di 425.69 non risulta in contabilità. In banca è presente, ma il modulo reportistica non lo ha importato automaticamente. Necessario inserimento manuale o forzatura sync per chiudere la posizinoe del cliente Cabibbo s.r.l.. Il problema riguarda solo i bonifici di ieri.",Amministrazione,media,0,311
5,,Nota di aggiornamento anagrafica per cliente Calgari-Pastine e figli nel sistema reportistica. Inseriti dati nuovo referente admin_01 a puro titolo inforamtivo per il database. Nessuna azione di sincronizzazione richiesta al momento. Semplice data netry per tenere ordinato lo storico contatti. con performance,Amministrazione,bassa,0,310
6,,"Impossibile allegare PDF al record della fattura 3693/22. Il bottone 'Upload' non risponde o dà error di permessi. Il odcumento deve essere archiviato digtialmente etnro fine mese. Problema liimtato alla funzione di ulpoad, il resto funziona. - ordine urgente - sincronizzazione",Amministrazione,alta,0,278
7,,"Discrepanza IVA su fatt. estera 8231/23. Il sys. calcola un importo diverso da quello atteso per il cliente Zanazzo, Gargallo e Verga e figli. Differenza di pochi euro, ma impedisce la validazione contabile. Richiesta verifica configurazione aliquote nel modulo ordini. per negoziazione",Amministrazione,media,0,286
8,,"Monitoraggio passivo dei log modulo gestione utenti per statistiche utilizzo. Analisi a posteriori dei tracciati per identificare trend di lungo periodo. Non ci sono errori attivi o malfunzionamenti. Attività di studio per future ottimizzazioni, senza impatto attuale.",Amministrazione,bassa,0,268
9,,"Durante l'elaborazione della doc 6987/24 per il cliente Sanguineti-Zola SPA, il sys. catalogo si è bloccato generando rerore 503. L'operazione di registrazione pagamento di 766.69 non può essere completata. Il cliente attende conferma per procedeer con l'ordine ORD-10205. eNcessario intervento urgente per sbloccare il processo di fatturazione.",Amministrazione,alta,0,345
10,,"Duplicazione righe in visulaizzazione estratto conto Bajamonti, Barese e Sagnelli e figli. Le fatture appaiono due volte nella lista a video. Il saldo finale è corretto, è solo un errore visivo che confonde gli operatori. Richiesta pulizia della view nel modulo magazzino.",Amministrazione,media,0,272
11,,"Problema di visualizzazione anagrafica cliente Trezzini, Mannoia e Bossi SPA. Alcuni campi (telefono, indirizzo) appaiono vuoti anche se popolati nel DB. Rende difficile contattare il cliente per sollecito pagamenti. Bug dell'interfaccia vendite da correggere.e",Amministrazione,media,0,261
