id,title,body,category,priority,title_length,body_length
1,Errore stampa: impossibile stampare fattura 3445/20 (cliente aspetta) login fallito con listino,"L'utente mario.rossi segnala lentezza esasperante nel modulo fatturazione. Il salvataggio di ogni fattura impiega 30-40 secondi. Non è un blocco totale, ma dimezza la produttività dell'ufficio. Necessaria verifica performance databsae o rete su ambiente pre-produzione. - relativo a bloccor",Amministrazione,media,95,290
2,Backup: storico fatture 1994,"Data entry: modifica scheda informativa cliente Pacelli, Gentilini e Ruggeri SPA. update campi email caetaniorazio@chindamo-franceschi.it e referente giulia.verdi. Modifica puramente formale per completezza anagrafica. Attività amministrativa standard di basso ilvello, gestibile in background.",Amministrazione,bassa,28,294
3,Batch: consolidamento dati contabili - crash per disponibilità,Controllo qualità dati cnotabili storici per archivio. Verifica di routine uslla coerenza dei vecchi movimenti di anni passati. Non blocca nessuna attività corrente e non richiede correzioni urgenti. Si può procedere gradualmente alla vaildazione dei record passati. con errore critico per sconto bug,Amministrazione,alta,62,300
4,Task: aggiornamento anagrafica pianificato,Malfunzionamento export Excel per report mensile. La generazione del file si interrompe a metà con problem generico. I dati a video osno corretti. Serve il file epsortato per riunione di domani mattina. Workaround richiesto.. Segnalato anche modulo - performance per login fallito,Amministrazione,media,42,280
5,Info: statistiche licenze Linea Accessori,Nota di aggiornamento anagrafica per cliente Balbi-Crispi s.r.l. nel system doczione. Inseriti dati nuovo referente mario.rossi a puro titolo informativo per il database. Nessuna azione di sincronizzazione richiesta al momento. Semplice data entry per tenere ordinato lo storico contatti.m,Amministrazione,bassa,41,289
6,Export fallito: report mensile si blocca a metà (serve urgente),"URgente completare la registrazione del pagamento per l'ordine ORD-89085 del cliente Zecchini, Serao e Albertini rGoup. Il system mostra errore 504 durante l'inserimento dell'importo 1351.43 in vendite. Il bonifico risulta effettuato ma il gestionale non salva i dati. Blocco critico che impdeisce conferma ordine e spedizione merce. Richietso supporto tecnico immediato., problema su contratto",Amministrazione,alta,63,394
7,Funzione rotta: tasto upload PDF non cliccabile,"Data entry: modifica scheda informativa cliente Lippomano, Amaldi e Procacci SPA. update campi email marcellasperi@benussi.org e referente operatore_23. Modifica puramente formale per completezza anagrafica. Attività amministrativa standard di basso livello, gestibile in background. con crash per bug",Amministrazione,media,47,301
8,sys fermo fatturazione non risponde - utenti bloccati su gestione anagrafiche,Procedura di backup storico: export fatture anno 1990 per archivio sicurezza. Generazione file statico in formato PDF da conservare server-side. Operazione a bassa priorità da accodare ai job notturni o wekeend. Serve solo per compliance e non per attività correnti. - performance,Amministrazione,bassa,77,280
9,urgentissimo: Account bloccato mario.rossi - errore ERR_CONNECTION_REFUSED su sys. fatt.zione,"Impossibile allegare PDF al record della fattura 6601/24. Il bottone 'Upload' non risponde o dà problem di permessi. Il documento deve essere archiviato digitalmente entor fine mese. issue limitato alla funzione di upload, il resto funzion.a per performance con condizioni commerciali",Amministrazione,alta,93,284
10,Errore calcolo IVA: importo errato su fattura estera (non validabile) con timeout preventivo per negoziazione,"Errore validazione codice fiscale per nuovo cliente Einauid, Lombroso e Norbiato e figli. Il sistema lo sgena come errato anche se è formalmente valido. Impedisce il salvataggio della scheda cliente. Necessario bypassaer il controllo o correggere l'algoritmo di validazione.o",Amministrazione,media,109,275
11,Account bloccato: utente mario.rossi fermo (troppi tentativi),"Impossibile allegare PDF al record della fattura 6455/23. Il bottone 'Upload' non risponde o dà err. di permessi. Il documento deve essere archiviato digitalmente entro fine mese. Problema limitato alla funzione di upload, il resto funziona. per sincronizzazionee",Amministrazione,alta,61,263
12,Batch: consolidamento dati contabili,"Data entry: modifica scheda informativa cliente Marino s.r.l.. Aggiornamento campi email vgaggini@fantoni-bernardini.com e refeernte mario.rossi. Modifica puramente formale per completezza anagrafica. Attività amministrativa standard di basso livlelo, gestibile in background.i",Amministrazione,bassa,36,277
13,Anomalia visiva: duplicazione righe estratto conto (confusione),"Mancato allineamento incassi: il bonifico di 1203.31 non risulta in contbailità. In banca è presente, ma il modulo reportistica non lo ha importato automaticamente. Necessario inserimento manuale o forzatura sync per chiudere la posizione del cliente Ricci-Greco SPA. Il problema riguarda solo i bonifici di ieri. ambiente",Amministrazione,media,63,322
14,applicativo fermo ordini non risponde - utenti bloccati su gestione anagrafiche ordine urgente per condizioni commerciali - bug,Cnotrollo qualità dati contabili storici per archivio. Verifica di routine sulla coerenza dei vecchi movimenti di anni passati. Non blocca nessuna attività corretne e non richiede correzioni urgenti. Si può porcedere gradualmente alla validazione dei record passati.i,Amministrazione,alta,127,267
15,Funzione rotta: tasto upload PDF non cliccabile,"Proposta di manutenzione ordinaria: pulizia account inattivi da lungo periodo. Lista di 5 utenti che non accedono da mesi. Attività di igiene del database da schedulare come task di routine. Nessun impatto sugli utenti attivi o sul servizio di produzione., problema su documento",Amministrazione,media,47,278
16,Mancata notifica: email approvazione persa (processo fermo),"Discrpeanza IVA su fattura estera 3007/23. Il sys. calcola un importo diverso da quello atteso per il cliente Stucchi, Brambilla e Modiano s.r.l.. Differenza di pochi euro, ma impedisce la validazione contabile. Richiesta verifica configurazione aliquote nel modulo ordini. - disponibilità per performance con ordine urgente",Amministrazione,alta,59,324
