id,title,body,category,priority,title_length,body_length
1,"Bug interfaccia: anagrafica Amaldi, Travia e Spadafora s.r.l. illeggibile (campi vuoti) con negoziazione con negoziazione per performance","Problema di visualizzazione anagrafica cliente Amaldi, Travia e Spadafora s.r.l.. Alcuni campi (telefono, indirizzo) appaiono vuoti anche se popolati nel DB. Rende difficile contattare il cliente per sollecito pagamenti. Bug dell'interfaccia assistenza da correggere.",Amministrazione,media,137,267
2,Log: inserimento anagrafica Cutuli-Canetta s.r.l.,"Monitoraggio passivo dei log modulo gestione utenti per statistiche utilizzo. Analisi a posteriori dei tracciati per identificare trend di lungo periodo. Non ci sono errori attivi o malfunzionamenti. Attività di studio per future ottimizzazioni, senza impatto attuale.",Amministrazione,bassa,49,268
3,Rallentamento fatturazione: salvataggio impiega 40 secondi (troppo) - sincronizzazione,"L'account utente mario.rossi risulta bloccato dal sistema catalogo con err ""ERR_CONNECTION_REFUSED"". L'utente deve urgentemente accedere per completare l'elaborazione delle fatture per il lciente Castiglione, Bertolucci e Pisano s.r.l.. Il blocco sta impattando le operazioni di chiusura ordini e l'invio documenti contabili. Si richiede intervento tecnico immediato per ripristino acc. entro entro 2 ore. con preventivo - scontoi",Amministrazione,alta,86,430
4,problem stampa: impossibile stampare fattura 8932/23 (cliente aspetta) preventivo,bug validazione codice fiscale per nuovo cliente Bocca e figli. Il sistema lo segna come errato nache se è fomralmente valido. Impedisce il salvataggio della scheda cliente. Necessario bypassare il controllo o correggere l'algoritmo di validazione.,Amministrazione,media,81,248
5,Export fallito: report mensile si blocca a metà (serve ASAP),Procedura di backup storico: export fatture anno 1990 per archivio sicurezza. Generazione flie statico in formato PDF da conservare server-side. Operazione a bassa priorità da accodare ai job notturni o weekedn. Serve solo per compliance e non per attiviàt correnti.. Segnalato anche  cc: direttore,Amministrazione,bassa,60,298
6,Account bloccato: utente mario.rossi fermo (troppi tentativi),"Problema di visualizzazione anagrafica cliente Ritacca SPA. Alcuni campi (telefono, indirizzo) appaiono vuoti anche se popolati nel DB. Rende difficile contattare il cliente per sollecito pagamenti. Bug dell'interfaccia clienti da correggere. per crash",Amministrazione,alta,61,252
7,Timeout ricerca: impossibile filtrare fatture > 30 giorni per crash - memory leak,"Mancato allineamento incassi: il bonifico di 1080.75 non risulta in ocntabilità. In banca è presente, ma il modulo catalogo non lo ha importato automaticamente. Necessairo inserimento manuale o forzatura sync per cihudere la posizione del cliente Orlando-Ramazzotti s.r.l.. Il problema riguarda solo i bonifici di ieri. - bug",Amministrazione,media,81,325
8,Funzione rotta: tasto upload PDF non cliccabile,Proopsta di manutenzione ordinaria: pulizia account inattivi da lungo periodo. Lista di 1 utenti che non accedono da mesi. Attiviàt di igiene del database da schedulare ocme task di routine. Nessun impatto sugli utenti attivi o sul servizio di produzione.,Amministrazione,bassa,47,255
9,Account bloccato: utente mario.rossi fermo (troppi tentativi) per negoziazione con login fallito,"Data entry: modifica scheda informativa cliente Accardo s.r.l.. update campi email dflaiano@rapisardi.org e referente mario.rossi. Modifica puramente formale per completezza anagrafica. Attività amministrativa standard di basso livello, gestiible in background.. Segnalato anche informazioni",Amministrazione,alta,96,291
10,Task: aggiornamento anagrafica pianificato,"bug di stampa isolato: impossibile stampare la fattura 4413/21. Il sys. genera il PDF correttamente a video, ma l'invio alla stampanet fallisce. Altre fatture vengono stampate regolarmente. Il cliente Marini-Marinetti e figli è in attesa del cartaceo per il ritiro merce.",Amministrazione,media,42,271
