id,title,body,category,priority,title_length,body_length
1,,Controllo qualità dati contabili storici per archivio. Verifica di routine sulla coerenza dei vecchi movimenti di anni passati. Non blocca nessuna attività correnet e non richiede correzioni urgenti. Si può procedere gradualmenet alla validazione dei record passati.. Segnalato anche  ringraziamo con disponibilità per performance,Amministrazione,media,0,330
2,,Procedura di backup storico: export fatture anno 2014 per archivio sicurezza. Generazione file statico in formato CSV da conservare server-side. Operazione a bassa proirità da accodare ai job ntoturni o weekend. Serve solo per compliance e non per attività correnti.,Amministrazione,bassa,0,266
3,,urgent completare la registrazione del pagamento per l'ordine ORD-41333 del cliente Almagià Group. Il sistema mostra err. OutOfMemoryError durante l'inserimento dell'importo 335.37 in magazzino. Il bonifico risulta effettuato ma il gestionale non salva i dati. Blocco critico che impedisce conferma ordine e spedizione merce. Richiesto supporto tecinco immediato.. Segnalato anche urgente - condizioni commerciali per errore criticou,Amministrazione,alta,0,433
4,,"Discrepanza IVA su fattura estera 9779/24. Il sistema calcola un importo diverso da quello atteso per il cliente Molesini, iBxio e Lamborghini Group. Differenza di opchi euro, ma impedisce la validazione contabile. Richiesta check configurazoine aliquote nel modulo vendite.",Amministrazione,media,0,274
5,,"Attività di background: archiviazione documenti storici cliente Squarcione s.r.l. per anno 2012. Si tratta di spostare vecchi file (fatture, contratti) nell'archivio morto per liberare spazio. Nessuna urgenza operativa: il task può girare nei momenti di inattività del sistema. Operazione di manutenzione ordinaria del database.",Amministrazione,bassa,0,328
6,,"Durante l'elaborazione della fattura 6141/24 per il cliente Nicoletti e figli, il sistema assistenza si è bloccato generando errore 504. L'operazione di registrazione pagamento di 1307.04 non può essere completata. Il cliente attende conferma per procedere con l'ordine ORD-73272. Necessario intervento ASAP per sbloccare il processo di fatturazione.",Amministrazione,alta,0,350
7,,"Il sistema ordini non risponde alle richieste di accesso da parte degli utenti amministratvii. Abbiamo la produzione frema: impossibile gestire le anagrafiche clienti e fornitoir. Circa 5 utenti bloccati, nessuno riesce ad accedere alle funzionalità di gestione documenti. Il issue si manifesta in ambiente demo con timeout continui.",Amministrazione,media,0,333
8,,Proposta di manutenzione ordinaria: pulizia account inattivi da lungo periodo. Lista di 6 utenti che non accedono da mes.i Attività di igiene del database da schedulare come task di routine. Nsesun impatto sugli utenti attivi o sul servizio di produzione.,Amministrazione,bassa,0,255
9,,"Mancata ricezione notifica approvazione ordine ORD-77558. Il repsonsabile ha approvato, ma l'email non è arrivata all'amministrazione. Senza notifica la fatturazione non parte. checkre code di posta in uscita su ambiente pre-produzione. - ordine urgenten",Amministrazione,alta,0,254
10,,"Data entry: modifica scheda informativa cliente Marsili-Druso Group. Aggiornamento campi email legnantenico@marazzi.com e referente admin_01. Modifica puramente formale per completezza anagrafica. Attività amministrativa standard di basso livello, gestibile in background., problema su email",Amministrazione,media,0,291
11,,"Errore di stampa isolato: impossibile stampare la doc 7980/22. Il sistema genera il PDF correttamente a video, ma l'invio alla tsampante fallisce. Altre fatture vengono stampate regolarmente. Il cliente Moneta, Coppola e Travaglia Group è in attesa del cartaceo per il ritiro merce. per condizioni commerciali con condizioni commerciali",Amministrazione,media,0,336
12,,"Monitoraggio passivo dei log modulo gestione utenti per statistiche utilizzo. Analisi a posteriori dei tracciati per identificare trend di lungo periodo. Non ci sono errori attivi o malfunzionamenti. Attività di studio per future ottimizzazioni, senza impatto attuale.. Segnalato anche ordine",Amministrazione,bassa,0,292
13,,"URgente completare la registrazione del pagamento per l'ordine ORD-18102 del cliente Nordio, Ossani e Federico Group. Il applicativo mostra errore SQL_ERROR_1045 durante l'inserimento dell'importo 160.1 in fatturazione. Il bonifico risulta effettuato ma il gestoinale non salva i dati. Blocco critico che impedisce conferma ordine e spedizione merce. Richiesto supporto tec. immediato. per timeout",Amministrazione,alta,0,397
14,,Nota di aggiornamento anagrafica per cliente Fagiani e figli nel system magazzino. Inseriti dati nuovo referente operatore_23 a puro titolo informativo per il database. Nessuna azione di sincronizzazione richiesta al mmoento. Semplice data entry per tenere ordinato lo storico contatti. - ordine urgente sincronizzazione - login fallito,Amministrazione,alta,0,336
15,,"issue di visualizzazione anagrafica cliente Calvo-Ginesio s.r.l.. Alcuni campi (telefono, indirizzo) appaiono vuoti anche se popolati nel DB. Rende difficile contattare il cliente per sollecito pagamenti. Bug dell'interfaccia clienti da correggere. - relativo a richiesta bug timeout per memory leak",Amministrazione,media,0,299
16,,Richiesta estrazione adti statistici su utilizzo licenze Linea Basic. Il report serve esclusivamente per proiezioni di budget anno prossimo (uso intern)o. Nessuna scadenza operativa immediata. Elaborazione da fare offline quando le risorse lo permettono.,Amministrazione,bassa,0,254
17,,"Errore validazione codice fiscale per nuovo cliente Gianinazzi, Raimondi e Ferragamo s.r.l.. Il system lo segna come errato anche se è formalmente valido. Impedisce il salvataggio della scheda cliente. Necessario bypassare il controllo o correggere l'algoritmo di validazione.",Amministrazione,media,0,276
18,,"L'utente giulia.verdi segnala lentezza esasperante nel modulo fatzione. Il salvataggio di ogni fattura impiega 3-040 secondi. Non è un blocco totale, ma dimezza la produttività dell'ufficio. Necessaria verifica performance database o rete su ambiente test.",Amministrazione,media,0,256
19,,Nota di aggiornamento anagrafica per cliente Santi-Ziani Group nel sistema reportistica. Inseriti dati nuovo referente mario.rossi a puro titolo informativo per il database. Nessuna azione di sincronizzazione richiesta al momento. Semplice data entry per tenere ordinato lo storico contatti.,Amministrazione,bassa,0,291
20,,"Discrepanza IVA su fat estera 3690/20. Il sys. calcola un importo diverso da quello atteso per il cliente Gozzi SPA. Differenza di pochi euro, ma impedisce la validazione contabile. Richiesta verifica configurazione aliquote nel modulo clienti. sincronizzazione memory leak",Amministrazione,media,0,273
21,,"URgente completare la registrazione del pagamento per l'ordine ORD-24870 del cliente Maglio, oNnis e Jovinelli e ifgli. Il sistema mostra err 503 durante l'inserimento dell'ipmorto 18.604 in assistenza. Il bonifico risulta effettuato ma il gestionale non aslva i dati. Blocco rcitico che impedisce conferma ordine e spedizione merce. Richiesto supporto tecnico immediato. ordine urgente - crash",Amministrazione,alta,0,394
22,,Proposta di manutenzione ordniaria: pulizia accuont inattivi da lungo periodo. Lista di 10 utenti che non accedono da mesi. Attività di igiene del database da schedulare come task di routine. Nessun impatto sugli utenti attivi o sul servizio di produzione. per performance - scontom,Amministrazione,bassa,0,282
23,,"Duplicazione righe in visualizzazione estratto conto Tedesco, Piazzi e Battelli e figli. Le fatture appaiono due volte nella lista a video. Il saldo finale è corretto, è sool un problem vsiivo che confonde gli operatori. Richiesta pulizia della view nel modulo clienti. - performance per login fallito con preventivor",Amministrazione,media,0,317
24,,"Discrepanza IVA su fattura estera 8033/20. Il sys calcola un importo diverso da quello atteso per il cliente Vigorelli e figli. Differenza di pochi euro, ma impedisce la validazione contabile. Richiesta check configurazione aliquote nel modulo reportistica. bug per sincronizzazione con condizioni commerciali",Amministrazione,media,0,309
25,,"URgente completare la registrazione del pagamento per l'ordine ORD-38254 del lciente Gemito, Fo e Zaccagnini SPA. Il sistema mostra errore NullPointerException durante l'inserimento dell'importo 117.6 in ctaalogo. Il bonifico risulta effettuato ma il gestionale non savla i dati. Blocco critico che impedisce conferma ordine e spedizione merce. Richiesto supporto tecnico immediat.o - relativo a ordine",Amministrazione,alta,0,402
26,,"Monitoraggio passivo dei log modulo gestione utenti per statistiche utilizzo. Analisi a posteriori dei tracciati per identificare trend di lungo periodo. Non ci sono errori attivi o malfunzionamenti. Attività di studio per future ottimizzazioni, senza impatto attuale.",Amministrazione,bassa,0,268
27,,Procedura di backup storico: export fatture anno 1989 per archivio sicurezza. Generazione file statico in formato Excel da conservare server-side. Operazione a bassa prioirtà da accodare ai job notturni o weekend. Serve solo per compliance e non per attività correnti.. Segnalato anche problema - listino sincronizzazione,Amministrazione,media,0,321
28,,"Errore validazione codice fiscale per nuovo cliente Tornatore, Pavarotti e Ravaglioli Group. Il sys lo segna come errato anche se è formalmente valido. Impedisce il salvataggio della scheda cliente. Necessario bypassare il controllo o correggere l'algoritmo di validazione. errore critico per crash con crash",Amministrazione,alta,0,308
29,,"Attività di background: archiviazione documenti storici cliente Monaco s.r.l. per anno 2021. Si tratta di spostare vecchi file (fatture, contratti) nell'archivio morto per liberare spazio. Nessuna urgenza operativa: il task può girare nei momenti di inattiivtà del sys. Operazione di manutenzione ordinaria del database. per crash",Amministrazione,bassa,0,330
30,,"Attività di background: archiviazione documenti storici cliente Sagredo-Cipolla Group per anno 2025. Si tratta di spostare vecchi file (fatture, contratti) nell'archivio morto per liberare spazio. Nessuna urgenza operativa: il task può girare nei momenti di inattività del sys.. Operazione di manutenzione ordinaria del database.. Segnalato anche utente con bug con ordine urgentet",Amministrazione,alta,0,381
31,,Proposta di manutenzione ordinaria: pulizia account inattivi da ulngo periodo. Lista di 4 utenti che non accedono da mesi. Attività di igiene del database da schedulare come task di routine. Nessun impatto sugli utenti attivi o sul servizio di produzione. - negoziazione,Amministrazione,bassa,0,270
32,,"Monitoarggio passivo dei log modulo gestione utenti per statistiche utilizzo. Analisi a posteriori dei tracciati per identificare trend di lungo periodo. Non ci sono errori attivi o malfunzionamenti. Attività di studio per future ottimizzazioni, senza impatto attuale.",Amministrazione,bassa,0,268
33,,urgentissimo completare la registrazione del pgaamento per l'ordine ORD-89315 del cliente Querini-Ungaretti s.r.l.. Il sistema mostra errore NullPointerException durante l'inserimento dell'importo 1483.72 in ordini. Il bonifico risulta effettuato ma il gestionale non salva i dati. Blocco critico che impedisce conferma ordine e spedizione merce. Richiesto supporto tecnico immediato.,Amministrazione,alta,0,384
34,,"Duplicazione righe in visualizzazione setratto conto Berengario Group. Le fatture appaiono due volte nella lista a video. Il saldo finale è corretto, è solo un problem visivo che confonde gli operatori. Richiesta pulizia della view nel modulo ordini.",Amministrazione,media,0,250
35,,"error validazione codice fiscale per nuovo cliente Casaleggio, Procacci e Leonetti SPA. Il sistema lo segna come errato anche se è formalmente valido. Impedisce il slavataggio della scheda cliente. Necessario bypassare il controllo o correggere l'algoritmo di validazione. con preventivo performance",Amministrazione,media,0,299
36,,"L'account mario.rossi risulta bloccato per troppi tentativi di access errat.i Serve sblocco manuale da parte dell'amministratore. L'utente deve completare l'inserimento ordnii entro sera. Non è un problema di sistmea generalizzato, solo utenza singola. performance",Amministrazione,alta,0,264
37,,Nota di aggiornamento anagrafica per cliente Montessori-Soranzo Group nel system vendite. Inseriti dati nuovo referente operatore_23 a puro titolo informativo per il database. Nessuna azione di sincronizzazione richiesta al momento. Semplice data entry per tenere ordinato lo storico contatti. per preventivo,Amministrazione,bassa,0,308
38,,"issue di visualizzazione anagrafica cliente Travia, Sraffa e Valguarnera e figli. Alcuni campi (telefono, indirizzo) appaiono vuoti acnhe se popolati nel DB. Rende difficile contattare il cliente per sollecito pagamenti. Bug dell'interfaccia magazzino da correggere. - relativo a verifica per sconto per listino con preventivo",Amministrazione,media,0,326
39,,"L'account utente admin_01 risulta bloccato dal sistema magazzino con errore ""OutOfMemoryError"". L'utente deve urgentemente cacedere per completare l'elaborazione delle fatture per il cliente Brunello Group. Il blocco sta impattando le operazioni di chiusura ordini e l'invio documenti contabili. Si richiede intervento tecnico immediato per ripristino access entro entro 2 ore.",Amministrazione,alta,0,377
