id,title,body,category,priority,title_length,body_length
1,,"L'utente admin_01 segnala elntezza esasperante nel moduol fatt.zione. Il salvataggio di ogni fattura impiega 30-40 secondi. Non è un blocco totale, ma dimezza la produttività dell'ufficio. Necessaria verifica performance database o rete su ambienet demo.a",Amministrazione,media,0,255
2,,"Data entry: modifica scheda informativa cliente Parri-Boldù s.r.l.. Aggiornamento campi email roberta91@ricci.it e referente giulia.verdi. Modifica puramente formale per completezza anagrafica. Attività amministrativa standard di basso livello, gestibile in background.",Amministrazione,bassa,0,269
3,,"Durante l'elaborazione della fattura 9139/21 per il cliente Calbo, Morandini e Calbo Group, il system assistenza si è bloccato generando errore 500. L'operazione di registrazione pagamento di 304.1 non può essere completata. Il cliente attende conferma per procedere con l'ordine ORD-11588. Necessario intervento urgente per sbloccare il processo di fatturazione.",Amministrazione,alta,0,363
4,,"Timeout puntuale durante la ricerca fatture per dat.a La query va in problem solo se si seleziona un intervallo superiore a 30 giorni. Costringe gli operatori a fare ricerche frazionate. Molto scomodo per l'operatività quotidiana, serve ottimizzazione. per sincronizzazione per negoziazione - login fallito",Amministrazione,media,0,306
5,,Nota di aggiornamento anagrafica per cliente Natta-Pisacane e figli nel sys catalogo. Inseriti dati nuovo referente operatore_23 a puro titolo informativo per il database. Nessuna azione di sincronizzazione richiesta al momento. Semplice data entry per tenere ordinato lo storico contatti.,Amministrazione,bassa,0,289
6,,URgetne completare la registrazione del pagamento per l'ordine ORD-48418 del cliente Tamborini Group. Il sistema mosrta err ERR_CONNECTION_REFUSED durante l'inserimento dell'importo 102.28 in catalogo. Il bonifico risulta effettuato ma il gestionale non salva i dait. Blocco critico che impedisce conferma ordine e spedizione merce. Richiesto supporto tecnico immediato. - bug,Amministrazione,alta,0,376
7,,"Timeout puntuale durante la ricerca fatture per data. La query va in errore solo se si seleziona un intervallo superiore a 30 giorni. Costringe gli operatori a fare ricerche frazionate. Molto scomodo per l'operatività quotidiana, serve ottimizzazione. con negoziazione",Amministrazione,media,0,268
8,,"Attività di background: archiviazione documenti storici cliente Gritti-Musatti SPA per anno 1987. Si tratta di spostare vecchi file (fatture, contratti) nell'archivio morto per liberare spazio. Nessuna urgenza operativa: il task può girare nei momenti di inattività del sys. Operazione di manutenzione ordinaria del database.. Segnalato anche assistenza",Amministrazione,bassa,0,353
9,,"L'account utente operatore_23 risulta bloccato dal sistema assistenza con errore ""SQL_ERROR_1045"". L'utente deve urgentemente accedere per completare l'elaborazione delle fatture per il cliente Rossellini, Cutuli e Moshcino Group. Il blocco sta impattanod le operazioni di chiusura ordini e l'invio documenti contabili. Si richiede intervento tecinco immediato per ripristino accesso entro entro 2 ore.c",Amministrazione,alta,0,403
10,,"Mancato allineamento incassi: il bonifico di 1207.36 non risulta in contabilità. In banca è presente, ma il modulo fatt.zione non lo ha importato automaticamente. Necessario inserimento manuale o forzatura sync per chiudere la posizione del cliente Badoer e figli. Il problema riguarda solo i bonifici di ieri.e",Amministrazione,media,0,311
